dpse	dmel
FBgn0074148	FBgn0034505
FBgn0074149	FBgn0039897
FBgn0074150	FBgn0034529
FBgn0074151	NA
FBgn0074153	FBgn0037678
FBgn0074154	FBgn0033457
FBgn0074155	FBgn0029768
FBgn0074156	FBgn0035393
FBgn0074157	FBgn0037685
FBgn0074158	FBgn0029765
FBgn0074159	FBgn0010905
FBgn0074160	FBgn0035348
FBgn0074162	FBgn0035344
FBgn0074163	FBgn0035343
FBgn0074165	FBgn0038541
FBgn0074167	NA
FBgn0074168	FBgn0036767
FBgn0074170	NA
FBgn0074173	FBgn0029659
FBgn0074174	FBgn0034936
FBgn0074176	FBgn0027343
FBgn0074177	FBgn0034974
FBgn0074178	FBgn0034940
FBgn0074179	FBgn0037707
FBgn0074181	FBgn0037713
FBgn0074182	FBgn0038881
FBgn0074183	FBgn0000426
FBgn0074184	FBgn0036712
FBgn0074185	FBgn0032856
FBgn0074187	FBgn0032462
FBgn0074189	FBgn0036621
FBgn0074190	FBgn0030484
FBgn0074191	FBgn0032488
FBgn0074192	FBgn0032490
FBgn0074194	FBgn0037728
FBgn0074195	FBgn0032495
FBgn0074196	FBgn0032503
FBgn0074197	FBgn0032505
FBgn0074199	FBgn0025111
FBgn0074202	FBgn0035009
FBgn0074204	FBgn0261992
FBgn0074205	FBgn0015527
FBgn0074209	FBgn0032338
FBgn0074210	FBgn0028482
FBgn0074211	NA
FBgn0074212	FBgn0028931
FBgn0074213	FBgn0028919
FBgn0074214	FBgn0034498
FBgn0074217	FBgn0028936
FBgn0074218	FBgn0014076
FBgn0074219	FBgn0260011
FBgn0074220	FBgn0028904
FBgn0074221	NA
FBgn0074222	FBgn0001967
FBgn0074223	FBgn0028544
FBgn0074224	FBgn0032538
FBgn0074227	FBgn0028658
FBgn0074229	FBgn0028932
FBgn0074230	FBgn0030122
FBgn0074231	FBgn0034483
FBgn0074232	FBgn0035073
FBgn0074234	FBgn0033442
FBgn0074235	FBgn0263396
FBgn0074237	FBgn0040394
FBgn0074238	FBgn0037763
FBgn0074240	FBgn0037741
FBgn0074241	FBgn0262735
FBgn0074242	FBgn0041205
FBgn0074243	FBgn0035064
FBgn0074244	FBgn0025578
FBgn0074245	FBgn0028686
FBgn0074247	FBgn0002641
FBgn0074248	FBgn0263705
FBgn0074250	FBgn0020270
FBgn0074251	FBgn0015558
FBgn0074253	FBgn0035060
FBgn0074255	FBgn0027590
FBgn0074256	FBgn0035111
FBgn0074257	FBgn0038464
FBgn0074259	FBgn0031816
FBgn0074260	FBgn0031116
FBgn0074261	FBgn0030701
FBgn0074262	FBgn0038809
FBgn0074263	FBgn0032525
FBgn0074264	FBgn0032523
FBgn0074266	FBgn0036481
FBgn0074267	FBgn0029067
FBgn0074268	FBgn0026391
FBgn0074269	FBgn0026391
FBgn0074271	FBgn0032387
FBgn0074272	FBgn0032390
FBgn0074273	FBgn0030318
FBgn0074274	FBgn0264308
FBgn0074275	FBgn0032481
FBgn0074277	FBgn0032479
FBgn0074278	FBgn0032475
FBgn0074280	FBgn0040972
FBgn0074281	FBgn0036512
FBgn0074282	FBgn0033443
FBgn0074284	FBgn0025637
FBgn0074285	FBgn0062517
FBgn0074286	FBgn0035355
FBgn0074287	FBgn0035356
FBgn0074289	FBgn0040291
FBgn0074290	FBgn0025621
FBgn0074291	FBgn0035786
FBgn0074292	FBgn0001259
FBgn0074293	FBgn0031412
FBgn0074294	FBgn0263235
FBgn0074296	FBgn0035795
FBgn0074297	FBgn0033122
FBgn0074298	FBgn0053517
FBgn0074299	FBgn0032109
FBgn0074301	FBgn0039972
FBgn0074302	FBgn0033783
FBgn0074306	FBgn0036550
FBgn0074307	FBgn0036553
FBgn0074309	FBgn0036551
FBgn0074310	FBgn0030321
FBgn0074312	FBgn0036547
FBgn0074313	FBgn0036546
FBgn0074315	FBgn0036545
FBgn0074316	FBgn0032449
FBgn0074317	NA
FBgn0074318	FBgn0259219
FBgn0074319	FBgn0038151
FBgn0074320	FBgn0038150
FBgn0074321	FBgn0001316
FBgn0074322	FBgn0033827
FBgn0074323	FBgn0033828
FBgn0074325	NA
FBgn0074327	FBgn0015379
FBgn0074328	FBgn0031097
FBgn0074330	FBgn0022770
FBgn0074331	FBgn0040754
FBgn0074333	FBgn0035132
FBgn0074334	FBgn0027107
FBgn0074335	FBgn0033845
FBgn0074336	FBgn0031099
FBgn0074337	FBgn0031098
FBgn0074339	FBgn0031239
FBgn0074341	FBgn0086855
FBgn0074342	FBgn0000352
FBgn0074343	FBgn0036480
FBgn0074344	FBgn0039070
FBgn0074345	FBgn0035131
FBgn0074346	NA
FBgn0074347	FBgn0262599
FBgn0074348	FBgn0028671
FBgn0074349	FBgn0035142
FBgn0074350	FBgn0032276
FBgn0074351	FBgn0039904
FBgn0074352	NA
FBgn0074353	NA
FBgn0074356	FBgn0039048
FBgn0074357	FBgn0024740
FBgn0074358	FBgn0001235
FBgn0074359	FBgn0032291
FBgn0074361	FBgn0041243
FBgn0074362	FBgn0039043
FBgn0074363	FBgn0052227
FBgn0074364	FBgn0032297
FBgn0074365	FBgn0032299
FBgn0074368	FBgn0032304
FBgn0074369	FBgn0069354
FBgn0074370	FBgn0039020
FBgn0074371	FBgn0035113
FBgn0074372	FBgn0035110
FBgn0074373	NA
FBgn0074374	FBgn0036953
FBgn0074375	FBgn0022709
FBgn0074378	FBgn0260397
FBgn0074379	FBgn0010808
FBgn0074381	FBgn0036250
FBgn0074384	FBgn0011570
FBgn0074385	FBgn0030486
FBgn0074387	FBgn0036462
FBgn0074396	FBgn0031170
FBgn0074397	FBgn0035140
FBgn0074398	FBgn0035144
FBgn0074399	FBgn0035149
FBgn0074400	FBgn0037884
FBgn0074401	FBgn0038741
FBgn0074402	FBgn0037882
FBgn0074404	FBgn0038761
FBgn0074407	FBgn0040571
FBgn0074412	FBgn0038775
FBgn0074414	FBgn0038043
FBgn0074419	FBgn0030687
FBgn0074420	FBgn0014869
FBgn0074422	FBgn0032415
FBgn0074423	FBgn0032416
FBgn0074425	FBgn0032421
FBgn0074426	FBgn0031494
FBgn0074427	FBgn0031500
FBgn0074428	FBgn0031491
FBgn0074429	FBgn0034866
FBgn0074431	FBgn0004595
FBgn0074432	FBgn0046225
FBgn0074433	FBgn0036958
FBgn0074434	NA
FBgn0074435	FBgn0031410
FBgn0074436	FBgn0039033
FBgn0074437	FBgn0025740
FBgn0074438	FBgn0261439
FBgn0074440	FBgn0035249
FBgn0074441	NA
FBgn0074442	FBgn0033041
FBgn0074443	FBgn0026149
FBgn0074445	FBgn0029970
FBgn0074446	FBgn0031495
FBgn0074447	FBgn0031496
FBgn0074448	FBgn0031497
FBgn0074449	FBgn0031498
FBgn0074450	FBgn0031501
FBgn0074451	FBgn0243513
FBgn0074452	FBgn0031490
FBgn0074454	FBgn0033089
FBgn0074455	FBgn0038821
FBgn0074456	FBgn0038828
FBgn0074458	FBgn0038830
FBgn0074459	FBgn0027493
FBgn0074462	FBgn0046763
FBgn0074464	FBgn0027359
FBgn0074465	FBgn0034877
FBgn0074466	FBgn0038857
FBgn0074467	FBgn0038505
FBgn0074469	FBgn0000639
FBgn0074470	FBgn0027500
FBgn0074472	FBgn0032029
FBgn0074473	FBgn0032030
FBgn0074474	FBgn0032032
FBgn0074475	FBgn0032034
FBgn0074479	FBgn0264754
FBgn0074483	FBgn0032719
FBgn0074484	FBgn0027070
FBgn0074485	FBgn0032713
FBgn0074486	FBgn0027074
FBgn0074490	FBgn0028841
FBgn0074491	FBgn0032596
FBgn0074492	FBgn0027779
FBgn0074493	FBgn0030239
FBgn0074494	FBgn0035626
FBgn0074496	FBgn0259979
FBgn0074497	NA
FBgn0074498	FBgn0017581
FBgn0074499	FBgn0032751
FBgn0074500	FBgn0086446
FBgn0074501	FBgn0015380
FBgn0074502	FBgn0032771
FBgn0074503	FBgn0032772
FBgn0074504	FBgn0035880
FBgn0074505	FBgn0011290
FBgn0074507	FBgn0037949
FBgn0074508	FBgn0036395
FBgn0074509	FBgn0036391
FBgn0074510	FBgn0028717
FBgn0074511	NA
FBgn0074512	FBgn0005671
FBgn0074514	FBgn0039381
FBgn0074515	FBgn0031861
FBgn0074518	FBgn0031858
FBgn0074520	FBgn0030291
FBgn0074522	FBgn0039079
FBgn0074524	FBgn0039350
FBgn0074525	FBgn0033934
FBgn0074526	FBgn0033936
FBgn0074527	FBgn0037276
FBgn0074528	NA
FBgn0074530	FBgn0261613
FBgn0074531	FBgn0031145
FBgn0074534	FBgn0025814
FBgn0074536	FBgn0001145
FBgn0074538	FBgn0040066
FBgn0074539	FBgn0000313
FBgn0074541	FBgn0030121
FBgn0074542	FBgn0030301
FBgn0074544	FBgn0033982
FBgn0074545	FBgn0039830
FBgn0074546	FBgn0039251
FBgn0074547	FBgn0030300
FBgn0074549	FBgn0262536
FBgn0074550	FBgn0038481
FBgn0074551	FBgn0038479
FBgn0074552	NA
FBgn0074554	FBgn0030305
FBgn0074556	FBgn0086442
FBgn0074558	FBgn0035640
FBgn0074561	FBgn0260012
FBgn0074562	FBgn0030306
FBgn0074563	FBgn0039969
FBgn0074567	FBgn0063499
FBgn0074568	FBgn0063498
FBgn0074569	FBgn0063497
FBgn0074570	FBgn0063496
FBgn0074572	FBgn0031148
FBgn0074573	FBgn0063494
FBgn0074576	FBgn0063491
FBgn0074578	FBgn0032775
FBgn0074579	FBgn0032774
FBgn0074580	FBgn0038461
FBgn0074581	FBgn0024245
FBgn0074582	FBgn0262685
FBgn0074585	FBgn0032768
FBgn0074586	FBgn0038424
FBgn0074587	FBgn0010097
FBgn0074589	FBgn0032753
FBgn0074590	FBgn0033777
FBgn0074591	FBgn0250842
FBgn0074592	FBgn0033775
FBgn0074593	FBgn0003326
FBgn0074594	FBgn0028963
FBgn0074595	NA
FBgn0074596	FBgn0029711
FBgn0074597	FBgn0031544
FBgn0074598	FBgn0262866
FBgn0074600	FBgn0031194
FBgn0074601	FBgn0031196
FBgn0074602	FBgn0031195
FBgn0074603	FBgn0010355
FBgn0074604	FBgn0026718
FBgn0074606	FBgn0034915
FBgn0074609	FBgn0010395
FBgn0074612	FBgn0039002
FBgn0074613	FBgn0002948
FBgn0074615	FBgn0032144
FBgn0074618	FBgn0038029
FBgn0074619	FBgn0030467
FBgn0074620	FBgn0031357
FBgn0074621	FBgn0011270
FBgn0074622	FBgn0264494
FBgn0074623	FBgn0031364
FBgn0074625	FBgn0031361
FBgn0074626	FBgn0086698
FBgn0074627	FBgn0034924
FBgn0074628	FBgn0031356
FBgn0074632	FBgn0261674
FBgn0074633	FBgn0034352
FBgn0074635	FBgn0011202
FBgn0074636	FBgn0062440
FBgn0074637	FBgn0032668
FBgn0074639	FBgn0024807
FBgn0074640	FBgn0036348
FBgn0074642	FBgn0001085
FBgn0074644	FBgn0041210
FBgn0074646	FBgn0004456
FBgn0074647	FBgn0027597
FBgn0074649	FBgn0000633
FBgn0074650	FBgn0029877
FBgn0074651	FBgn0010316
FBgn0074652	FBgn0037885
FBgn0074653	FBgn0035432
FBgn0074654	FBgn0033802
FBgn0074655	FBgn0003067
FBgn0074656	FBgn0037880
FBgn0074657	FBgn0036923
FBgn0074658	FBgn0037890
FBgn0074660	FBgn0036925
FBgn0074665	NA
FBgn0074667	FBgn0035730
FBgn0074669	FBgn0035425
FBgn0074670	FBgn0011655
FBgn0074672	FBgn0038717
FBgn0074673	FBgn0010531
FBgn0074674	FBgn0030114
FBgn0074675	NA
FBgn0074676	FBgn0259150
FBgn0074677	FBgn0004435
FBgn0074679	NA
FBgn0074681	FBgn0029751
FBgn0074682	FBgn0033529
FBgn0074683	FBgn0023510
FBgn0074684	FBgn0011273
FBgn0074686	FBgn0040899
FBgn0074687	NA
FBgn0074688	FBgn0023534
FBgn0074689	FBgn0039197
FBgn0074690	FBgn0039196
FBgn0074691	FBgn0039195
FBgn0074692	FBgn0039192
FBgn0074693	FBgn0039188
FBgn0074694	FBgn0039167
FBgn0074695	NA
FBgn0074696	NA
FBgn0074698	FBgn0026415
FBgn0074703	FBgn0034748
FBgn0074706	FBgn0027872
FBgn0074707	FBgn0038915
FBgn0074708	FBgn0023143
FBgn0074709	FBgn0038914
FBgn0074710	FBgn0034383
FBgn0074713	FBgn0016038
FBgn0074714	FBgn0025635
FBgn0074715	FBgn0024728
FBgn0074716	FBgn0028394
FBgn0074717	FBgn0001269
FBgn0074718	FBgn0261113
FBgn0074720	FBgn0036454
FBgn0074721	FBgn0031611
FBgn0074722	FBgn0028480
FBgn0074726	FBgn0030061
FBgn0074727	FBgn0026393
FBgn0074728	FBgn0032124
FBgn0074731	FBgn0028946
FBgn0074732	FBgn0041629
FBgn0074735	FBgn0029521
FBgn0074737	FBgn0030063
FBgn0074738	NA
FBgn0074739	FBgn0023537
FBgn0074741	FBgn0000409
FBgn0074742	FBgn0032597
FBgn0074743	FBgn0032598
FBgn0074745	FBgn0000024
FBgn0074746	FBgn0030163
FBgn0074747	FBgn0037590
FBgn0074748	FBgn0032600
FBgn0074749	FBgn0032601
FBgn0074750	FBgn0037431
FBgn0074751	FBgn0037433
FBgn0074752	FBgn0039860
FBgn0074753	FBgn0010228
FBgn0074758	FBgn0039923
FBgn0074759	FBgn0038416
FBgn0074763	FBgn0010105
FBgn0074765	FBgn0034657
FBgn0074768	FBgn0003512
FBgn0074769	FBgn0029647
FBgn0074770	FBgn0030365
FBgn0074772	FBgn0004052
FBgn0074773	FBgn0085432
FBgn0074774	NA
FBgn0074776	FBgn0034624
FBgn0074777	FBgn0028562
FBgn0074778	FBgn0028561
FBgn0074780	FBgn0030006
FBgn0074781	FBgn0033199
FBgn0074783	FBgn0003204
FBgn0074784	FBgn0033072
FBgn0074785	FBgn0032595
FBgn0074786	FBgn0261988
FBgn0074787	FBgn0034552
FBgn0074788	FBgn0039861
FBgn0074790	FBgn0037660
FBgn0074791	NA
FBgn0074793	FBgn0033491
FBgn0074795	FBgn0004865
FBgn0074796	FBgn0029123
FBgn0074797	FBgn0030362
FBgn0074798	FBgn0023550
FBgn0074799	FBgn0028422
FBgn0074800	FBgn0039862
FBgn0074801	FBgn0039710
FBgn0074803	FBgn0037435
FBgn0074804	FBgn0030360
FBgn0074805	FBgn0034517
FBgn0074806	FBgn0034512
FBgn0074809	FBgn0036538
FBgn0074810	FBgn0003366
FBgn0074812	FBgn0032082
FBgn0074813	FBgn0033423
FBgn0074814	FBgn0000500
FBgn0074817	FBgn0028872
FBgn0074818	FBgn0030556
FBgn0074819	FBgn0003392
FBgn0074820	FBgn0264953
FBgn0074821	FBgn0023535
FBgn0074822	FBgn0028738
FBgn0074823	FBgn0025583
FBgn0074827	FBgn0039677
FBgn0074828	FBgn0039678
FBgn0074829	FBgn0039702
FBgn0074830	FBgn0031119
FBgn0074831	FBgn0028530
FBgn0074832	FBgn0034898
FBgn0074834	FBgn0031343
FBgn0074836	FBgn0036837
FBgn0074837	FBgn0036839
FBgn0074841	FBgn0261436
FBgn0074842	FBgn0032209
FBgn0074843	FBgn0032189
FBgn0074844	FBgn0028939
FBgn0074848	FBgn0004370
FBgn0074849	FBgn0035262
FBgn0074850	FBgn0035265
FBgn0074851	FBgn0028694
FBgn0074854	FBgn0036035
FBgn0074856	FBgn0033428
FBgn0074857	FBgn0036023
FBgn0074858	FBgn0034255
FBgn0074860	FBgn0083956
FBgn0074861	FBgn0034403
FBgn0074862	FBgn0037579
FBgn0074863	FBgn0038653
FBgn0074864	FBgn0025286
FBgn0074865	NA
FBgn0074867	FBgn0038535
FBgn0074870	NA
FBgn0074871	FBgn0036832
FBgn0074876	FBgn0030403
FBgn0074878	FBgn0034085
FBgn0074879	FBgn0015295
FBgn0074880	FBgn0037553
FBgn0074881	FBgn0010342
FBgn0074882	FBgn0034072
FBgn0074885	FBgn0030827
FBgn0074887	FBgn0030228
FBgn0074889	NA
FBgn0074890	FBgn0031724
FBgn0074891	FBgn0037520
FBgn0074892	FBgn0031719
FBgn0074893	FBgn0033431
FBgn0074901	FBgn0013467
FBgn0074902	FBgn0039679
FBgn0074903	FBgn0031126
FBgn0074904	FBgn0000046
FBgn0074905	FBgn0030269
FBgn0074906	FBgn0262870
FBgn0074907	FBgn0011754
FBgn0074908	FBgn0032266
FBgn0074909	FBgn0031869
FBgn0074910	FBgn0035538
FBgn0074912	FBgn0000173
FBgn0074913	FBgn0032979
FBgn0074914	FBgn0029002
FBgn0074916	FBgn0033904
FBgn0074918	FBgn0027055
FBgn0074919	FBgn0033610
FBgn0074920	FBgn0040763
FBgn0074922	FBgn0029812
FBgn0074923	FBgn0005614
FBgn0074924	FBgn0260743
FBgn0074925	FBgn0036110
FBgn0074926	FBgn0036108
FBgn0074929	FBgn0026777
FBgn0074930	FBgn0000499
FBgn0074931	FBgn0032940
FBgn0074932	FBgn0034460
FBgn0074933	FBgn0033860
FBgn0074934	FBgn0030329
FBgn0074935	FBgn0033893
FBgn0074937	FBgn0025592
FBgn0074939	FBgn0033524
FBgn0074940	FBgn0026199
FBgn0074942	NA
FBgn0074943	FBgn0004171
FBgn0074944	FBgn0032723
FBgn0074945	FBgn0032728
FBgn0074947	FBgn0039761
FBgn0074948	FBgn0011259
FBgn0074950	FBgn0030330
FBgn0074951	FBgn0039226
FBgn0074954	FBgn0035780
FBgn0074957	FBgn0013813
FBgn0074958	FBgn0021895
FBgn0074959	FBgn0039149
FBgn0074960	FBgn0263113
FBgn0074961	FBgn0039536
FBgn0074963	FBgn0010359
FBgn0074964	FBgn0033476
FBgn0074966	FBgn0033155
FBgn0074967	FBgn0025360
FBgn0074969	FBgn0010222
FBgn0074970	FBgn0034218
FBgn0074971	FBgn0034217
FBgn0074972	FBgn0030345
FBgn0074973	FBgn0024232
FBgn0074974	FBgn0039463
FBgn0074975	FBgn0037683
FBgn0074976	FBgn0037931
FBgn0074979	FBgn0041203
FBgn0074980	FBgn0028518
FBgn0074981	NA
FBgn0074982	FBgn0261553
FBgn0074983	FBgn0026323
FBgn0074984	FBgn0038701
FBgn0074988	FBgn0033154
FBgn0074990	NA
FBgn0074991	FBgn0028527
FBgn0074992	FBgn0028746
FBgn0074993	FBgn0026602
FBgn0074995	FBgn0038350
FBgn0074996	FBgn0038348
FBgn0074997	FBgn0038347
FBgn0074998	FBgn0028984
FBgn0075000	FBgn0042207
FBgn0075001	FBgn0265139
FBgn0075002	FBgn0034321
FBgn0075005	FBgn0034321
FBgn0075006	FBgn0026389
FBgn0075007	FBgn0034326
FBgn0075010	FBgn0037973
FBgn0075011	FBgn0042206
FBgn0075015	FBgn0031469
FBgn0075016	FBgn0041337
FBgn0075017	FBgn0003870
FBgn0075019	FBgn0033888
FBgn0075020	FBgn0002930
FBgn0075021	FBgn0003189
FBgn0075022	FBgn0037870
FBgn0075023	FBgn0040259
FBgn0075024	FBgn0036466
FBgn0075025	FBgn0025743
FBgn0075026	FBgn0265003
FBgn0075027	FBgn0031929
FBgn0075028	FBgn0044011
FBgn0075029	FBgn0261790
FBgn0075030	FBgn0036237
FBgn0075031	FBgn0038973
FBgn0075032	FBgn0038953
FBgn0075033	FBgn0038589
FBgn0075034	NA
FBgn0075036	FBgn0034411
FBgn0075037	FBgn0014269
FBgn0075038	FBgn0034382
FBgn0075039	FBgn0260444
FBgn0075040	FBgn0028670
FBgn0075041	FBgn0032202
FBgn0075042	FBgn0040324
FBgn0075043	FBgn0038460
FBgn0075044	FBgn0029971
FBgn0075045	NA
FBgn0075046	FBgn0028970
FBgn0075050	FBgn0034279
FBgn0075051	FBgn0014859
FBgn0075052	FBgn0031426
FBgn0075053	FBgn0025109
FBgn0075054	FBgn0037898
FBgn0075058	FBgn0024293
FBgn0075059	NA
FBgn0075062	FBgn0027561
FBgn0075063	FBgn0039581
FBgn0075064	FBgn0028704
FBgn0075065	FBgn0040964
FBgn0075066	FBgn0040963
FBgn0075069	FBgn0039582
FBgn0075072	FBgn0040696
FBgn0075073	FBgn0040697
FBgn0075076	FBgn0010425
FBgn0075077	FBgn0035398
FBgn0075078	FBgn0011586
FBgn0075079	FBgn0061476
FBgn0075080	FBgn0000557
FBgn0075081	FBgn0042213
FBgn0075082	FBgn0004598
FBgn0075083	FBgn0042098
FBgn0075084	NA
FBgn0075085	FBgn0002783
FBgn0075086	FBgn0015129
FBgn0075087	FBgn0042101
FBgn0075088	FBgn0042102
FBgn0075089	FBgn0042103
FBgn0075090	FBgn0042104
FBgn0075093	FBgn0042205
FBgn0075094	FBgn0042110
FBgn0075095	FBgn0042111
FBgn0075096	FBgn0042112
FBgn0075099	FBgn0015509
FBgn0075101	FBgn0042118
FBgn0075102	FBgn0042119
FBgn0075105	NA
FBgn0075106	FBgn0042125
FBgn0075109	FBgn0041627
FBgn0075110	FBgn0011740
FBgn0075111	FBgn0019947
FBgn0075112	FBgn0042129
FBgn0075113	FBgn0042131
FBgn0075114	FBgn0042132
FBgn0075115	FBgn0042134
FBgn0075116	FBgn0042135
FBgn0075118	FBgn0042138
FBgn0075120	FBgn0029508
FBgn0075121	FBgn0033226
FBgn0075122	FBgn0039757
FBgn0075124	FBgn0030066
FBgn0075128	FBgn0042175
FBgn0075131	FBgn0042179
FBgn0075132	FBgn0035290
FBgn0075133	FBgn0042180
FBgn0075134	FBgn0033421
FBgn0075135	FBgn0030164
FBgn0075136	FBgn0039869
FBgn0075137	FBgn0003317
FBgn0075138	FBgn0035390
FBgn0075139	FBgn0030339
FBgn0075140	FBgn0039870
FBgn0075141	FBgn0000492
FBgn0075143	FBgn0030391
FBgn0075144	FBgn0039914
FBgn0075145	FBgn0033434
FBgn0075147	FBgn0086361
FBgn0075148	FBgn0039674
FBgn0075149	FBgn0030274
FBgn0075150	FBgn0039911
FBgn0075151	FBgn0022349
FBgn0075152	FBgn0013972
FBgn0075153	FBgn0003885
FBgn0075154	FBgn0028855
FBgn0075156	NA
FBgn0075157	FBgn0014388
FBgn0075158	FBgn0028996
FBgn0075160	FBgn0002891
FBgn0075161	FBgn0027547
FBgn0075162	NA
FBgn0075163	FBgn0025820
FBgn0075164	FBgn0039875
FBgn0075165	FBgn0030276
FBgn0075166	FBgn0037469
FBgn0075167	FBgn0033214
FBgn0075168	FBgn0033214
FBgn0075169	FBgn0037468
FBgn0075171	FBgn0005632
FBgn0075173	FBgn0039623
FBgn0075174	FBgn0003093
FBgn0075175	FBgn0004636
FBgn0075177	FBgn0029940
FBgn0075178	FBgn0002872
FBgn0075179	FBgn0259101
FBgn0075180	FBgn0032876
FBgn0075182	FBgn0039688
FBgn0075183	FBgn0037466
FBgn0075184	FBgn0027620
FBgn0075185	FBgn0030341
FBgn0075186	FBgn0033401
FBgn0075187	FBgn0039690
FBgn0075188	FBgn0039881
FBgn0075189	FBgn0039691
FBgn0075190	FBgn0260990
FBgn0075191	FBgn0028408
FBgn0075192	FBgn0039883
FBgn0075193	FBgn0250789
FBgn0075194	FBgn0033404
FBgn0075195	FBgn0026869
FBgn0075197	FBgn0030162
FBgn0075198	FBgn0030479
FBgn0075199	FBgn0026749
FBgn0075200	FBgn0027330
FBgn0075201	FBgn0030485
FBgn0075202	FBgn0029947
FBgn0075204	FBgn0030060
FBgn0075207	FBgn0026262
FBgn0075208	FBgn0039667
FBgn0075209	FBgn0004436
FBgn0075210	FBgn0039669
FBgn0075211	FBgn0250839
FBgn0075212	FBgn0037391
FBgn0075213	FBgn0029088
FBgn0075214	FBgn0035271
FBgn0075215	FBgn0037292
FBgn0075216	FBgn0037383
FBgn0075217	FBgn0030344
FBgn0075218	FBgn0015024
FBgn0075219	FBgn0037382
FBgn0075220	FBgn0010198
FBgn0075221	FBgn0015359
FBgn0075222	FBgn0028836
FBgn0075223	FBgn0010114
FBgn0075224	FBgn0039907
FBgn0075226	FBgn0002535
FBgn0075227	FBgn0019929
FBgn0075228	FBgn0037378
FBgn0075229	FBgn0002413
FBgn0075231	FBgn0002780
FBgn0075232	FBgn0037376
FBgn0075235	FBgn0022702
FBgn0075236	FBgn0030051
FBgn0075237	FBgn0029942
FBgn0075238	FBgn0015034
FBgn0075239	FBgn0027498
FBgn0075241	FBgn0033400
FBgn0075242	FBgn0033205
FBgn0075244	FBgn0035264
FBgn0075247	FBgn0026326
FBgn0075250	FBgn0033402
FBgn0075251	FBgn0029944
FBgn0075252	FBgn0030262
FBgn0075253	FBgn0027608
FBgn0075256	FBgn0037327
FBgn0075257	FBgn0037372
FBgn0075258	FBgn0261385
FBgn0075259	FBgn0033194
FBgn0075260	FBgn0262603
FBgn0075261	FBgn0037371
FBgn0075262	FBgn0024891
FBgn0075263	FBgn0037328
FBgn0075264	FBgn0037369
FBgn0075265	FBgn0035374
FBgn0075266	FBgn0004878
FBgn0075267	FBgn0035375
FBgn0075268	FBgn0037365
FBgn0075269	FBgn0033192
FBgn0075270	FBgn0035383
FBgn0075271	FBgn0037364
FBgn0075272	FBgn0037330
FBgn0075273	FBgn0033292
FBgn0075275	FBgn0035385
FBgn0075276	FBgn0030003
FBgn0075277	FBgn0039877
FBgn0075279	FBgn0033289
FBgn0075282	FBgn0039876
FBgn0075283	FBgn0033286
FBgn0075285	FBgn0030008
FBgn0075286	FBgn0033190
FBgn0075287	FBgn0028646
FBgn0075288	FBgn0264294
FBgn0075289	FBgn0033187
FBgn0075290	FBgn0030251
FBgn0075291	FBgn0261397
FBgn0075292	FBgn0030025
FBgn0075293	FBgn0003065
FBgn0075294	FBgn0020653
FBgn0075295	FBgn0086768
FBgn0075296	FBgn0003965
FBgn0075297	NA
FBgn0075298	FBgn0033264
FBgn0075299	FBgn0033266
FBgn0075300	FBgn0017550
FBgn0075301	FBgn0030266
FBgn0075302	FBgn0005648
FBgn0075304	FBgn0017545
FBgn0075305	FBgn0021995
FBgn0075309	FBgn0010772
FBgn0075310	FBgn0033273
FBgn0075311	FBgn0002773
FBgn0075312	NA
FBgn0075313	FBgn0017448
FBgn0075314	FBgn0039873
FBgn0075315	FBgn0086450
FBgn0075316	FBgn0017448
FBgn0075317	FBgn0035213
FBgn0075318	FBgn0030447
FBgn0075319	FBgn0032955
FBgn0075320	FBgn0030240
FBgn0075321	FBgn0001122
FBgn0075322	NA
FBgn0075327	FBgn0015222
FBgn0075328	FBgn0039767
FBgn0075329	FBgn0039889
FBgn0075330	FBgn0028331
FBgn0075331	FBgn0030196
FBgn0075332	FBgn0039773
FBgn0075333	NA
FBgn0075334	FBgn0011770
FBgn0075335	FBgn0029990
FBgn0075337	FBgn0027654
FBgn0075338	FBgn0261479
FBgn0075340	FBgn0030320
FBgn0075341	FBgn0010333
FBgn0075342	FBgn0040773
FBgn0075344	FBgn0029992
FBgn0075345	FBgn0029994
FBgn0075346	FBgn0029995
FBgn0075347	FBgn0029996
FBgn0075348	FBgn0029997
FBgn0075349	FBgn0040319
FBgn0075350	FBgn0030000
FBgn0075351	FBgn0039867
FBgn0075352	FBgn0025800
FBgn0075353	FBgn0030007
FBgn0075354	FBgn0262169
FBgn0075355	FBgn0039792
FBgn0075356	FBgn0033484
FBgn0075358	NA
FBgn0075359	FBgn0035204
FBgn0075360	FBgn0030017
FBgn0075361	FBgn0017566
FBgn0075362	FBgn0033479
FBgn0075363	FBgn0033268
FBgn0075365	FBgn0039668
FBgn0075366	FBgn0039665
FBgn0075367	NA
FBgn0075368	FBgn0039663
FBgn0075369	FBgn0037447
FBgn0075370	FBgn0261014
FBgn0075373	NA
FBgn0075374	FBgn0000552
FBgn0075375	FBgn0000715
FBgn0075376	FBgn0262801
FBgn0075379	FBgn0030323
FBgn0075383	FBgn0033304
FBgn0075384	FBgn0003892
FBgn0075385	FBgn0033389
FBgn0075386	FBgn0030326
FBgn0075387	FBgn0030328
FBgn0075389	FBgn0030460
FBgn0075390	FBgn0260812
FBgn0075391	FBgn0250871
FBgn0075392	FBgn0035205
FBgn0075393	FBgn0030357
FBgn0075394	FBgn0261787
