"gid"	"chr"	"start"	"end"	"length_aef"	"gname"
"FBgn0073894"	"4_group3"	11127436	11127564	129	"Dpse\GA13862"
"FBgn0073895"	"4_group3"	11154629	11155765	1137	"Dpse\GA13863"
"FBgn0073896"	"4_group1"	2009680	2010012	333	"Dpse\GA13864"
"FBgn0073897"	"4_group5"	158672	160682	1647	"Dpse\GA13865"
"FBgn0073899"	"XL_group1a"	8488132	8488842	651	"Dpse\GA13867"
"FBgn0073901"	"3_"	8289956	8291064	351	"Dpse\GA13869"
"FBgn0073902"	"3_"	14638910	14639403	441	"Dpse\GA13870"
"FBgn0073903"	"3_"	17495237	17497070	1716	"Dpse\GA13871"
"FBgn0073904"	"3_"	17580686	17581318	576	"Dpse\GA13872"
"FBgn0073907"	"3_"	17678579	17678974	336	"Dpse\GA13875"
"FBgn0073908"	"3_"	3558074	3559690	1053	"Dpse\GA13876"
"FBgn0073909"	"3_"	3628260	3629233	432	"Dpse\GA13877"
"FBgn0073910"	"3_"	3575931	3577748	1587	"Dpse\GA13878"
"FBgn0073913"	"3_"	19438834	19442401	2910	"Dpse\GA13881"
"FBgn0073914"	"3_"	15659067	15663499	3933	"Dpse\GA13882"
"FBgn0073916"	"XL_group1e"	686489	688766	1710	"Dpse\GA13884"
"FBgn0073917"	"3_"	19419182	19428735	2271	"Dpse\GA13885"
"FBgn0073918"	"3_"	15783158	15786534	687	"Dpse\GA13886"
"FBgn0073919"	"3_"	3016495	3018285	1329	"Dpse\GA13887"
"FBgn0073921"	"3_"	2984359	2984958	600	"Dpse\GA13889"
"FBgn0073923"	"2_"	15338376	15343544	2100	"Dpse\GA13891"
"FBgn0073924"	"2_"	8382183	8389338	6321	"Dpse\GA13892"
"FBgn0073926"	"2_"	12795300	12796429	497	"Dpse\GA13894"
"FBgn0073927"	"2_"	12778568	12780829	2133	"Dpse\GA13895"
"FBgn0073928"	"2_"	12769431	12769967	537	"Dpse\GA13896"
"FBgn0073929"	"2_"	12765817	12766682	555	"Dpse\GA13897"
"FBgn0073930"	"3_"	18962432	18963553	237	"Dpse\GA13898"
"FBgn0073931"	"3_"	10537610	10541199	3129	"Dpse\GA13899"
"FBgn0073933"	"3_"	3978897	3979223	267	"Dpse\GA13901"
"FBgn0073936"	"3_"	4019506	4020271	711	"Dpse\GA13904"
"FBgn0073937"	"3_"	4006398	4007133	687	"Dpse\GA13905"
"FBgn0073938"	"XL_group1a"	6212893	6214901	1935	"Dpse\GA13906"
"FBgn0073940"	"3_"	3768683	3769393	648	"Dpse\GA13908"
"FBgn0073942"	"XL_group1e"	5380536	5381402	798	"Dpse\GA13910"
"FBgn0073943"	"Unknown_group_144"	23508	24096	465	"Dpse\GA13911"
"FBgn0073945"	"XL_group3a"	1435192	1438380	1731	"Dpse\GA13913"
"FBgn0073947"	"XL_group1a"	3402094	3404275	2079	"Dpse\GA13915"
"FBgn0073948"	"XL_group1a"	3311168	3312157	936	"Dpse\GA13916"
"FBgn0073949"	"XL_group1a"	3306356	3310819	1014	"Dpse\GA13917"
"FBgn0073950"	"XL_group1a"	3251067	3254964	1179	"Dpse\GA13918"
"FBgn0073951"	"XL_group1a"	3132696	3134807	2112	"Dpse\GA13919"
"FBgn0073953"	"XL_group1a"	2989935	2991990	1923	"Dpse\GA13921"
"FBgn0073956"	"XL_group1e"	3119601	3120008	408	"Dpse\GA13924"
"FBgn0073958"	"XL_group1e"	4527551	4528716	984	"Dpse\GA13926"
"FBgn0073959"	"XL_group1e"	4542898	4543970	939	"Dpse\GA13927"
"FBgn0073961"	"XL_group1a"	919813	920926	1053	"Dpse\GA13929"
"FBgn0073962"	"XL_group1a"	6047676	6049439	1764	"Dpse\GA13930"
"FBgn0073964"	"XL_group1a"	5996113	5997546	759	"Dpse\GA13932"
"FBgn0073965"	"XL_group1e"	3946565	3948544	1980	"Dpse\GA13933"
"FBgn0073966"	"XL_group1e"	3579320	3582685	1254	"Dpse\GA13934"
"FBgn0073967"	"XL_group1e"	3574072	3575211	825	"Dpse\GA13935"
"FBgn0073968"	"XL_group1e"	3567862	3569124	885	"Dpse\GA13936"
"FBgn0073969"	"XL_group1e"	3557003	3558010	573	"Dpse\GA13937"
"FBgn0073973"	"XL_group1a"	2110413	2111060	648	"Dpse\GA13941"
"FBgn0073974"	"XL_group1a"	2175178	2175567	390	"Dpse\GA13942"
"FBgn0073976"	"3_"	6557859	6558367	387	"Dpse\GA13944"
"FBgn0073977"	"XL_group1a"	2185546	2186511	849	"Dpse\GA13945"
"FBgn0073978"	"XL_group3a"	1867102	1868514	996	"Dpse\GA13946"
"FBgn0073979"	"XL_group3a"	1870733	1871494	762	"Dpse\GA13947"
"FBgn0073980"	"XL_group3a"	1904710	1906749	1650	"Dpse\GA13948"
"FBgn0073983"	"XL_group1e"	585135	586101	903	"Dpse\GA13951"
"FBgn0073984"	"XL_group1e"	3922848	3926768	2808	"Dpse\GA13952"
"FBgn0073985"	"XL_group1a"	8125374	8126192	819	"Dpse\GA13953"
"FBgn0073988"	"XL_group1a"	8091053	8123355	2082	"Dpse\GA13956"
"FBgn0073990"	"XL_group1a"	3939201	3941015	729	"Dpse\GA13958"
"FBgn0073991"	"3_"	1994644	2021423	6045	"Dpse\GA13959"
"FBgn0073992"	"XL_group1a"	7870464	7872656	1191	"Dpse\GA13960"
"FBgn0073993"	"XL_group1a"	7862212	7863991	1701	"Dpse\GA13961"
"FBgn0073994"	"2_"	12031387	12034017	2580	"Dpse\GA13962"
"FBgn0073997"	"XR_group8"	4020135	4021682	1548	"Dpse\GA13965"
"FBgn0073998"	"XL_group1e"	12019526	12020863	966	"Dpse\GA13966"
"FBgn0074000"	"2_"	1899076	1902619	3348	"Dpse\GA13968"
"FBgn0074001"	"4_group1"	4256535	4257498	762	"Dpse\GA13969"
"FBgn0074002"	"XL_group1e"	3826261	3830491	3870	"Dpse\GA13970"
"FBgn0074005"	"XR_group6"	12078325	12086220	3261	"Dpse\GA13973"
"FBgn0074007"	"4_group4"	6113080	6115367	1701	"Dpse\GA13975"
"FBgn0074008"	"4_group3"	517993	531928	13005	"Dpse\GA13976"
"FBgn0074009"	"XR_group6"	2315876	2316184	249	"Dpse\GA13977"
"FBgn0074010"	"XL_group1e"	3988840	3989460	621	"Dpse\GA13978"
"FBgn0074012"	"3_"	13392447	13394109	1479	"Dpse\GA13980"
"FBgn0074015"	"3_"	815310	817301	753	"Dpse\GA13983"
"FBgn0074019"	"3_"	1936885	1937610	621	"Dpse\GA13987"
"FBgn0074020"	"3_"	6104603	6112242	1131	"Dpse\GA13988"
"FBgn0074021"	"3_"	10925549	10925997	396	"Dpse\GA13989"
"FBgn0074022"	"2_"	14077599	14079309	1497	"Dpse\GA13990"
"FBgn0074023"	"XL_group1e"	3210521	3213764	3174	"Dpse\GA13991"
"FBgn0074024"	"4_group5"	589446	589727	282	"Dpse\GA13992"
"FBgn0074025"	"Unknown_group_15"	6164	7472	894	"Dpse\GA13993"
"FBgn0074026"	"XL_group1e"	8478785	8480298	1254	"Dpse\GA13994"
"FBgn0074028"	"3_"	18361069	18361872	804	"Dpse\GA13996"
"FBgn0074029"	"XR_group8"	2812095	2812514	420	"Dpse\GA13997"
"FBgn0074031"	"XR_group6"	12142565	12144271	1707	"Dpse\GA13999"
"FBgn0074033"	"4_group3"	5604380	5605218	777	"Dpse\GA14001"
"FBgn0074034"	"XR_group6"	5924866	5925475	411	"Dpse\GA14002"
"FBgn0074036"	"Unknown_group_385"	60948	62022	696	"Dpse\GA14004"
"FBgn0074037"	"2_"	9994319	9994790	405	"Dpse\GA14005"
"FBgn0074038"	"2_"	9996443	9997457	963	"Dpse\GA14006"
"FBgn0074039"	"2_"	11004642	11005858	1083	"Dpse\GA14007"
"FBgn0074040"	"XL_group1e"	4626248	4628302	1827	"Dpse\GA14008"
"FBgn0074042"	"XL_group1a"	6799614	6807348	4812	"Dpse\GA14010"
"FBgn0074043"	"XL_group3a"	2201177	2202829	1593	"Dpse\GA14011"
"FBgn0074046"	"2_"	28529449	28531075	1569	"Dpse\GA14014"
"FBgn0074047"	"3_"	12530341	12532251	1911	"Dpse\GA14015"
"FBgn0074048"	"3_"	12668054	12669135	807	"Dpse\GA14016"
"FBgn0074050"	"3_"	818115	818637	471	"Dpse\GA14018"
"FBgn0074051"	"3_"	836484	837338	855	"Dpse\GA14019"
"FBgn0074052"	"XL_group1a"	877443	878243	744	"Dpse\GA14020"
"FBgn0074054"	"XL_group1e"	3133447	3134202	756	"Dpse\GA14022"
"FBgn0074056"	"Unknown_group_143"	19548	20360	813	"Dpse\GA14024"
"FBgn0074057"	"3_"	11186192	11186639	354	"Dpse\GA14026"
"FBgn0074059"	"2_"	7284	7577	234	"Dpse\GA14028"
"FBgn0074061"	"3_"	3955395	3956237	843	"Dpse\GA14030"
"FBgn0074063"	"XL_group1a"	3112978	3113723	519	"Dpse\GA14032"
"FBgn0074064"	"XL_group1a"	3089401	3090048	648	"Dpse\GA14033"
"FBgn0074065"	"XL_group3a"	1869471	1870139	477	"Dpse\GA14034"
"FBgn0074067"	"XL_group1e"	6118335	6125192	3537	"Dpse\GA14036"
"FBgn0074069"	"3_"	12319894	12321122	1011	"Dpse\GA14038"
"FBgn0074070"	"3_"	12196430	12197554	932	"Dpse\GA14039"
"FBgn0074071"	"3_"	12330091	12333402	2090	"Dpse\GA14040"
"FBgn0074072"	"3_"	12344567	12346587	1812	"Dpse\GA14041"
"FBgn0074073"	"3_"	12346770	12348723	1788	"Dpse\GA14042"
"FBgn0074074"	"3_"	12349008	12350904	1773	"Dpse\GA14043"
"FBgn0074076"	"2_"	4419665	4425029	4782	"Dpse\GA14045"
"FBgn0074077"	"XL_group1e"	3809874	3817694	3066	"Dpse\GA14046"
"FBgn0074078"	"3_"	12361945	12365080	2773	"Dpse\GA14047"
"FBgn0074080"	"XL_group1e"	5858488	5862887	4122	"Dpse\GA14049"
"FBgn0074082"	"3_"	12368769	12370426	1393	"Dpse\GA14051"
"FBgn0074083"	"XL_group1a"	6053788	6055715	1389	"Dpse\GA14052"
"FBgn0074084"	"3_"	7971401	7972870	1470	"Dpse\GA14053"
"FBgn0074085"	"3_"	12371174	12377834	3473	"Dpse\GA14054"
"FBgn0074086"	"3_"	7974171	7978296	3573	"Dpse\GA14055"
"FBgn0074087"	"XL_group1e"	5869201	5871948	1395	"Dpse\GA14056"
"FBgn0074089"	"XL_group1a"	6029388	6031918	2046	"Dpse\GA14058"
"FBgn0074090"	"XL_group1e"	1967788	1985699	3249	"Dpse\GA14059"
"FBgn0074091"	"XL_group1a"	6026633	6028753	603	"Dpse\GA14060"
"FBgn0074092"	"XL_group3b"	158829	183679	3930	"Dpse\GA14061"
"FBgn0074095"	"XL_group1a"	3914106	3916424	1389	"Dpse\GA14064"
"FBgn0074102"	"2_"	3372917	3376829	3732	"Dpse\GA14071"
"FBgn0074103"	"3_"	8773026	8782334	718	"Dpse\GA14072"
"FBgn0074104"	"3_"	9816026	9819587	1476	"Dpse\GA14073"
"FBgn0074105"	"Unknown_group_15"	29645	36804	4689	"Dpse\GA14074"
"FBgn0074106"	"3_"	8777228	8779031	1734	"Dpse\GA14075"
"FBgn0074109"	"XL_group1e"	1199568	1205167	5325	"Dpse\GA14078"
"FBgn0074111"	"XL_group1e"	11151831	11152927	813	"Dpse\GA14080"
"FBgn0074113"	"XL_group1a"	5974199	5974918	720	"Dpse\GA14082"
"FBgn0074114"	"3_"	7944802	7946188	1332	"Dpse\GA14083"
"FBgn0074115"	"XL_group1a"	3869057	3883240	2061	"Dpse\GA14084"
"FBgn0074116"	"3_"	12195175	12196391	1020	"Dpse\GA14085"
"FBgn0074117"	"XL_group1a"	1452365	1454366	1677	"Dpse\GA14086"
"FBgn0074118"	"3_"	17133118	17134358	1011	"Dpse\GA14087"
"FBgn0074119"	"XL_group1a"	6947721	6948376	456	"Dpse\Obp19d"
"FBgn0074120"	"XL_group1a"	6951745	6952369	477	"Dpse\Obp19b"
"FBgn0074121"	"XL_group1e"	1146385	1149334	1371	"Dpse\GA14090"
"FBgn0074123"	"2_"	3014123	3015528	1212	"Dpse\GA14092"
"FBgn0074124"	"2_"	21606536	21614603	2587	"Dpse\GA14094"
"FBgn0074125"	"3_"	17137056	17139487	2376	"Dpse\GA14095"
"FBgn0074127"	"XR_group8"	2315130	2319251	4065	"Dpse\GA14097"
"FBgn0074128"	"4_group3"	5026304	5026621	249	"Dpse\GA14098"
"FBgn0074130"	"3_"	12617200	12620066	2661	"Dpse\GA14100"
"FBgn0074131"	"XR_group8"	8534995	8535906	912	"Dpse\GA14101"
"FBgn0074132"	"2_"	29987610	29996093	3192	"Dpse\GA14102"
"FBgn0074133"	"XR_group8"	8531460	8532413	954	"Dpse\GA14103"
"FBgn0074134"	"3_"	6054029	6083861	2589	"Dpse\GA14104"
"FBgn0074135"	"XL_group1a"	1984115	1985861	1464	"Dpse\GA14105"
"FBgn0074138"	"XR_group8"	2275202	2275879	678	"Dpse\GA14108"
"FBgn0074140"	"2_"	29965613	29967485	1644	"Dpse\GA14110"
"FBgn0074141"	"3_"	16105360	16108302	2199	"Dpse\GA14111"
"FBgn0074142"	"XL_group1a"	5962110	5965279	1332	"Dpse\GA14112"
"FBgn0074144"	"2_"	50142	51152	951	"Dpse\GA14114"
"FBgn0074145"	"2_"	56130	57744	1332	"Dpse\GA14115"
"FBgn0074146"	"2_"	57755	60276	879	"Dpse\GA14116"
"FBgn0074147"	"4_group3"	4888995	4890038	1044	"Dpse\GA14117"
"FBgn0074148"	"3_"	10296495	10297069	510	"Dpse\GA14118"
"FBgn0074149"	"Unknown_group_62"	11484	19437	1914	"Dpse\GA14119"
"FBgn0074150"	"3_"	8637074	8641199	3957	"Dpse\GA14121"
"FBgn0074151"	"Unknown_group_260"	74437	74940	504	"Dpse\GA14122"
"FBgn0074153"	"2_"	4197990	4198920	798	"Dpse\GA14124"
"FBgn0074154"	"3_"	4322040	4322801	762	"Dpse\GA14125"
"FBgn0074155"	"XL_group1a"	8612223	8622673	1476	"Dpse\SPR"
"FBgn0074156"	"XR_group8"	3920756	3921295	540	"Dpse\GA14127"
"FBgn0074157"	"2_"	3196989	3198334	1191	"Dpse\Or85f"
"FBgn0074158"	"XL_group1a"	8693368	8693970	450	"Dpse\GA14129"
"FBgn0074159"	"XR_group6"	12503529	12540236	6585	"Dpse\GA14130"
"FBgn0074160"	"XR_group6"	12494190	12497952	1191	"Dpse\GA14131"
"FBgn0074162"	"XR_group6"	12456015	12457823	1536	"Dpse\GA14133"
"FBgn0074163"	"XR_group6"	12454312	12455152	777	"Dpse\GA14134"
"FBgn0074165"	"2_"	25944776	25948916	1908	"Dpse\GA14136"
"FBgn0074167"	"4_group4"	3775555	3776587	966	"Dpse\GA14138"
"FBgn0074168"	"XR_group6"	10750698	10751279	582	"Dpse\GA14139"
"FBgn0074173"	"XL_group1a"	7489699	7490292	594	"Dpse\GA14144"
"FBgn0074174"	"3_"	1785416	1788303	975	"Dpse\GA14145"
"FBgn0074176"	"XL_group1a"	6563163	6580209	1980	"Dpse\GA14147"
"FBgn0074177"	"3_"	7664475	7667223	2373	"Dpse\GA14148"
"FBgn0074178"	"3_"	1790772	1791530	759	"Dpse\GA14149"
"FBgn0074179"	"2_"	24017321	24018864	1384	"Dpse\GA14150"
"FBgn0074181"	"2_"	24028845	24029767	813	"Dpse\GA14152"
"FBgn0074182"	"2_"	5647040	5674846	3483	"Dpse\GA14153"
"FBgn0074183"	"3_"	2950105	2950371	267	"Dpse\GA14154"
"FBgn0074184"	"XR_group6"	9325289	9327490	2202	"Dpse\GA14155"
"FBgn0074185"	"4_group4"	2628466	2632798	1785	"Dpse\GA14156"
"FBgn0074187"	"4_group4"	627458	628303	846	"Dpse\GA14158"
"FBgn0074189"	"XR_group8"	2057652	2060428	2547	"Dpse\GA14160"
"FBgn0074190"	"XL_group3a"	474817	478659	723	"Dpse\GA14161"
"FBgn0074191"	"4_group4"	4122669	4124313	1401	"Dpse\GA14162"
"FBgn0074192"	"4_group4"	4118721	4119302	582	"Dpse\GA14163"
"FBgn0074194"	"2_"	25494268	25496070	1118	"Dpse\GA14165"
"FBgn0074195"	"4_group4"	4092307	4096433	963	"Dpse\GA14166"
"FBgn0074196"	"4_group5"	160774	161826	1053	"Dpse\GA14167"
"FBgn0074197"	"4_group5"	213013	217393	570	"Dpse\GA14168"
"FBgn0074199"	"XL_group1e"	6009057	6010355	924	"Dpse\GA14170"
"FBgn0074202"	"3_"	18314197	18314620	363	"Dpse\GA14173"
"FBgn0074204"	"4_group1"	2093235	2096343	417	"Dpse\GA14175"
"FBgn0074205"	"XL_group1e"	6018563	6020892	2052	"Dpse\GA14176"
"FBgn0074209"	"4_group3"	6431654	6436129	2253	"Dpse\GA14180"
"FBgn0074210"	"4_group2"	322120	328153	2076	"Dpse\GA14181"
"FBgn0074211"	"4_group4"	1535834	1551969	5715	"Dpse\GA14182"
"FBgn0074212"	"4_group4"	5946733	5948880	2022	"Dpse\GA14183"
"FBgn0074213"	"4_group4"	5920950	5921897	753	"Dpse\GA14184"
"FBgn0074214"	"3_"	9823208	9827818	4368	"Dpse\GA14185"
"FBgn0074217"	"4_group4"	5723891	5725010	981	"Dpse\GA14188"
"FBgn0074218"	"4_group3"	6531322	6531696	375	"Dpse\GA14189"
"FBgn0074219"	"4_group4"	5623863	5625014	1152	"Dpse\GA14190"
"FBgn0074220"	"4_group4"	5547943	5550068	1956	"Dpse\GA14191"
"FBgn0074221"	"3_"	14281395	14292766	2763	"Dpse\GA14192"
"FBgn0074222"	"4_group4"	5670066	5670737	672	"Dpse\GA14193"
"FBgn0074223"	"4_group4"	5753494	5755447	861	"Dpse\GA14194"
"FBgn0074224"	"4_group4"	5766947	5768787	858	"Dpse\GA14195"
"FBgn0074227"	"4_group4"	5926767	5928037	1212	"Dpse\GA14198"
"FBgn0074229"	"4_group4"	5963522	5964380	768	"Dpse\GA14200"
"FBgn0074230"	"XL_group1a"	7847379	7848525	843	"Dpse\GA14201"
"FBgn0074231"	"3_"	13239520	13240308	789	"Dpse\GA14202"
"FBgn0074232"	"3_"	10748896	10752126	3057	"Dpse\GA14203"
"FBgn0074234"	"3_"	14273440	14273909	396	"Dpse\GA14205"
"FBgn0074235"	"2_"	16910400	16920357	2068	"Dpse\GA14206"
"FBgn0074237"	"XL_group1e"	426464	428208	1623	"Dpse\GA14208"
"FBgn0074238"	"2_"	12451150	12452000	789	"Dpse\GA14209"
"FBgn0074240"	"2_"	12514262	12517794	3240	"Dpse\GA14211"
"FBgn0074241"	"XL_group1e"	7605756	7629174	1566	"Dpse\GA14212"
"FBgn0074242"	"3_"	10853394	10855570	1529	"Dpse\GA14213"
"FBgn0074243"	"3_"	10857694	10859466	1507	"Dpse\GA14214"
"FBgn0074244"	"3_"	10860963	10861300	279	"Dpse\GA14215"
"FBgn0074245"	"XL_group1a"	5692435	5693803	1242	"Dpse\GA14216"
"FBgn0074247"	"XL_group1e"	8920972	8923506	2379	"Dpse\GA14218"
"FBgn0074248"	"XL_group1e"	665101	685906	7773	"Dpse\GA14219"
"FBgn0074250"	"4_group3"	6703157	6705282	1866	"Dpse\GA14221"
"FBgn0074251"	"XL_group1e"	1822747	1827749	2961	"Dpse\GA14222"
"FBgn0074253"	"3_"	10867025	10874001	4513	"Dpse\GA14224"
"FBgn0074255"	"3_"	10875083	10875940	788	"Dpse\GA14226"
"FBgn0074256"	"XR_group8"	1442409	1446022	3339	"Dpse\GA14227"
"FBgn0074257"	"2_"	17842192	17845370	2587	"Dpse\GA14228"
"FBgn0074259"	"4_group1"	1508539	1513475	1350	"Dpse\GA14230"
"FBgn0074260"	"XL_group1e"	8925117	8935389	3675	"Dpse\GA14231"
"FBgn0074261"	"Unknown_group_93"	27045	28849	1746	"Dpse\GA14232"
"FBgn0074262"	"2_"	2603711	2606214	1719	"Dpse\GA14233"
"FBgn0074263"	"4_group1"	2097364	2099058	1695	"Dpse\GA14234"
"FBgn0074264"	"4_group1"	2142689	2143357	615	"Dpse\GA14235"
"FBgn0074266"	"XR_group6"	620872	622528	1536	"Dpse\GA14237"
"FBgn0074267"	"XL_group1a"	9033867	9035170	732	"Dpse\GA14238"
"FBgn0074268"	"4_group3"	9255914	9257105	1140	"Dpse\Or33a"
"FBgn0074269"	"4_group3"	9258719	9259909	1143	"Dpse\Or33b"
"FBgn0074271"	"4_group3"	7282745	7285927	2223	"Dpse\GA14242"
"FBgn0074272"	"4_group3"	7276072	7276824	696	"Dpse\GA14243"
"FBgn0074273"	"XL_group1a"	6234393	6238718	1254	"Dpse\GA14244"
"FBgn0074274"	"4_group5"	161996	166322	2121	"Dpse\GA14245"
"FBgn0074275"	"4_group4"	4143596	4149136	5094	"Dpse\GA14246"
"FBgn0074277"	"4_group4"	909212	913259	3849	"Dpse\GA14248"
"FBgn0074278"	"4_group4"	892192	897267	3897	"Dpse\GA14249"
"FBgn0074280"	"4_group4"	854158	854421	264	"Dpse\GA14251"
"FBgn0074281"	"XR_group6"	185534	187418	1827	"Dpse\GA14252"
"FBgn0074282"	"3_"	14309178	14311480	1971	"Dpse\GA14253"
"FBgn0074284"	"Unknown_group_552"	9742	10230	489	"Dpse\GA14255"
"FBgn0074285"	"XR_group3a"	1344553	1345557	936	"Dpse\GA14256"
"FBgn0074286"	"XR_group3a"	1341473	1342052	438	"Dpse\GA14257"
"FBgn0074287"	"XR_group3a"	1339437	1339927	435	"Dpse\GA14258"
"FBgn0074289"	"XR_group3a"	591236	591607	372	"Dpse\GA14260"
"FBgn0074290"	"XL_group3a"	2478481	2481738	3258	"Dpse\GA14261"
"FBgn0074291"	"XR_group6"	1459177	1459948	588	"Dpse\GA14262"
"FBgn0074292"	"XR_group6"	2196214	2201546	2520	"Dpse\GA14263"
"FBgn0074293"	"4_group3"	4107208	4115542	510	"Dpse\GA14264"
"FBgn0074294"	"4_group3"	920616	921416	801	"Dpse\GA14265"
"FBgn0074296"	"XR_group6"	1536572	1537339	768	"Dpse\GA14267"
"FBgn0074297"	"3_"	1162811	1164613	1251	"Dpse\GA14268"
"FBgn0074298"	"XL_group1e"	7304251	7324326	2649	"Dpse\GA14269"
"FBgn0074299"	"4_group5"	1662374	1664401	1740	"Dpse\GA14270"
"FBgn0074301"	"4_group4"	6541191	6545646	3843	"Dpse\GA14273"
"FBgn0074302"	"3_"	14349596	14352025	2088	"Dpse\GA14274"
"FBgn0074306"	"XR_group8"	8248807	8249736	864	"Dpse\GA14278"
"FBgn0074307"	"XR_group8"	8244483	8245419	879	"Dpse\GA14279"
"FBgn0074309"	"XR_group8"	8247187	8248294	858	"Dpse\GA14281"
"FBgn0074310"	"XL_group1a"	7245619	7248481	2775	"Dpse\GA14282"
"FBgn0074312"	"XR_group6"	3702037	3702841	747	"Dpse\GA14284"
"FBgn0074313"	"XR_group6"	3699595	3700800	948	"Dpse\GA14285"
"FBgn0074315"	"XR_group6"	3697710	3698549	687	"Dpse\GA14287"
"FBgn0074316"	"4_group4"	332131	333491	1299	"Dpse\GA14288"
"FBgn0074317"	"3_"	773874	774536	396	"Dpse\GA14289"
"FBgn0074318"	"3_"	772638	773666	897	"Dpse\GA14290"
"FBgn0074319"	"2_"	16687858	16689372	1281	"Dpse\GA14291"
"FBgn0074320"	"2_"	16686110	16687633	1404	"Dpse\GA14292"
"FBgn0074321"	"XR_group3a"	903864	995009	7047	"Dpse\GA14293"
"FBgn0074322"	"3_"	730173	731572	1185	"Dpse\GA14294"
"FBgn0074323"	"3_"	670780	671182	342	"Dpse\GA14295"
"FBgn0074325"	"XL_group1a"	7249939	7252313	2310	"Dpse\GA14297"
"FBgn0074327"	"XL_group1e"	6021452	6022140	492	"Dpse\GA14299"
"FBgn0074328"	"XL_group1e"	7156994	7158864	717	"Dpse\GA14300"
"FBgn0074330"	"XL_group1e"	7151704	7154290	693	"Dpse\GA14302"
"FBgn0074331"	"3_"	6678614	6678920	225	"Dpse\GA14303"
"FBgn0074333"	"XR_group8"	1226057	1231909	2055	"Dpse\GA14305"
"FBgn0074334"	"XL_group1e"	7128101	7129554	1383	"Dpse\GA14306"
"FBgn0074335"	"3_"	8231644	8234350	2649	"Dpse\GA14307"
"FBgn0074336"	"XL_group1e"	7142094	7143720	1224	"Dpse\GA14308"
"FBgn0074337"	"XL_group1e"	7148840	7151005	2166	"Dpse\GA14309"
"FBgn0074339"	"4_group1"	4329557	4332562	3006	"Dpse\GA14311"
"FBgn0074341"	"4_group1"	4317565	4319572	1785	"Dpse\GA14313"
"FBgn0074342"	"3_"	1543158	1547025	3672	"Dpse\GA14314"
"FBgn0074343"	"XR_group6"	617441	625785	3198	"Dpse\GA14315"
"FBgn0074344"	"2_"	9530388	9532040	1653	"Dpse\GA14316"
"FBgn0074345"	"XR_group8"	1222422	1224386	1554	"Dpse\GA14317"
"FBgn0074346"	"4_group1"	686559	686987	429	"Dpse\GA14318"
"FBgn0074347"	"4_group1"	687420	689151	1527	"Dpse\GA14319"
"FBgn0074348"	"2_"	8704968	8711681	3024	"Dpse\GA14320"
"FBgn0074349"	"XR_group3a"	801526	837488	4437	"Dpse\GA14321"
"FBgn0074350"	"4_group4"	2858257	2860322	2001	"Dpse\GA14322"
"FBgn0074351"	"Unknown_group_1"	53285	62088	4572	"Dpse\GA14323"
"FBgn0074352"	"2_"	7250127	7259348	2115	"Dpse\GA14324"
"FBgn0074353"	"4_group4"	2884143	2885712	1488	"Dpse\GA14325"
"FBgn0074356"	"2_"	3061804	3066114	2487	"Dpse\GA14328"
"FBgn0074357"	"4_group4"	2916148	2919494	1224	"Dpse\GA14329"
"FBgn0074358"	"2_"	7031559	7135797	1614	"Dpse\GA14330"
"FBgn0074359"	"4_group4"	2946037	2946978	825	"Dpse\GA14331"
"FBgn0074361"	"3_"	1553056	1555048	1284	"Dpse\Gr43a"
"FBgn0074362"	"2_"	6004305	6007976	1203	"Dpse\GA14334"
"FBgn0074363"	"XR_group6"	2123439	2132297	3927	"Dpse\GA14335"
"FBgn0074364"	"4_group4"	2957663	2958173	372	"Dpse\GA14336"
"FBgn0074365"	"4_group4"	2982345	2982641	297	"Dpse\GA14337"
"FBgn0074368"	"4_group4"	3031991	3033154	1164	"Dpse\GA14340"
"FBgn0074369"	"4_group4"	3057594	3058613	894	"Dpse\GA14341"
"FBgn0074370"	"2_"	6261369	6262388	963	"Dpse\GA14342"
"FBgn0074371"	"XR_group8"	1436844	1440454	2877	"Dpse\GA14343"
"FBgn0074372"	"XR_group8"	1446185	1447136	825	"Dpse\GA14344"
"FBgn0074373"	"XR_group6"	2540233	2541087	855	"Dpse\GA14345"
"FBgn0074374"	"XR_group6"	2078317	2079388	1011	"Dpse\GA14346"
"FBgn0074375"	"XR_group6"	2531820	2532873	690	"Dpse\GA14347"
"FBgn0074378"	"XR_group6"	2083066	2085977	2784	"Dpse\GA14350"
"FBgn0074379"	"2_"	269464	270528	847	"Dpse\GA14351"
"FBgn0074381"	"XR_group6"	5911331	5913181	1851	"Dpse\GA14353"
"FBgn0074384"	"4_group3"	3101482	3102664	831	"Dpse\GA14356"
"FBgn0074385"	"XL_group3a"	460441	469506	8757	"Dpse\GA14357"
"FBgn0074387"	"XR_group6"	744206	745567	1005	"Dpse\GA14359"
"FBgn0074396"	"XL_group1a"	9054356	9061635	5121	"Dpse\GA14368"
"FBgn0074397"	"XR_group3a"	852258	853239	870	"Dpse\GA14369"
"FBgn0074398"	"XR_group3a"	786086	787395	1242	"Dpse\GA14370"
"FBgn0074399"	"XR_group8"	4584972	4585949	978	"Dpse\GA14371"
"FBgn0074400"	"2_"	28616445	28617789	1089	"Dpse\GA14372"
"FBgn0074401"	"2_"	26330762	26331812	984	"Dpse\GA14373"
"FBgn0074402"	"2_"	28614377	28615264	888	"Dpse\GA14374"
